pattern;regex->SR (milliseconds);SR->NCA (milliseconds);NCA->DCA (milliseconds);NCA->DCA (milliseconds)-alg;NCA->DCA (milliseconds)-opt;|NCA|;|DCA|;|DCA|-opt;|DCA|-alg;NCA-trans;DCA-trans;DCA-trans-opt;DCA-trans-alg;Counters-NCA;Counters-DCA;Counters-DCA-alg;Timeouts-our;Our exception;Positive-errors;Positive-opt-errors;Lenght string;DCA Matcher - time (milliseconds);DCA Matcher opt - time (milliseconds);regex->NFA (milliseconds);NFA->DFA (milliseconds);DFA->min (milliseconds);|NFA|;|DFA|;|MIN|;DFA-trans;MIN-trans;Timeouts-classical;Classical exception
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA4;0,00259;2,43278;202,88526;120,5902;159,49461;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;30,77777778;0,8852;0,444522222;0,37624;0,00051;0,34891;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA5;0,00198;1,43822;204,54039;117,10487;180,38747;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;29,33333333;0,849188889;0,762166667;0,37624;0,00076;0,3247;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA8;0,00209;1,48072;204,57496;124,68978;191,24521;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;29,44444444;0,824922222;0,492966667;0,37624;0,00046;0,23848;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xA9;0,00283;2,16154;283,82793;162,05786;262,11386;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;34,66666667;1,049888889;2,181844444;0,37624;0,00037;0,19081;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xAB;0,00296;4,93548;312,407;163,0145;253,91815;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;31,77777778;0,9257;0,450311111;0,37624;0,0004;0,1944;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xAF;0,00324;3,00963;277,81548;159,54386;252,96544;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;30,33333333;0,973322222;0,475444444;0,37624;0,00038;0,25192;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xB1;0,00282;3,42668;304,81406;173,76273;254,74165;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;32,44444444;1,986155556;0,603477778;0,37624;0,00033;0,23611;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xB5;0,00344;6,81168;308,60798;198,2975;284,35967;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;31,44444444;1,320533333;0,691144444;0,37624;0,00028;0,2221;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xB8;0,00291;5,17056;364,14071;200,29745;284,75387;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;30,22222222;1,139922222;0,565744444;0,37624;0,00037;0,25855;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xBA;0,0024;1,53978;219,51982;123,7561;189,06714;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;32;1,949511111;1,071977778;0,37624;0,00055;0,32345;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xBC;0,0023;1,62881;211,4716;110,70017;187,31704;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;35,11111111;1,165588889;0,521955556;0,37624;0,00016;0,22486;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xE4;0,00232;2,34842;201,71286;96,23405;172,87473;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;32,77777778;1,2801;0,555977778;0,37624;0,00055;0,22676;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xF3;0,00218;2,53448;212,78931;113,61099;181,79402;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;32,66666667;1,148166667;0,527544444;0,37624;0,00036;0,23183;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x86\xF7;0,00254;1,54163;291,71921;159,77931;321,95596;13;215;215;215;15;1590;1559;1590;2;2;2;;;0;10;31,33333333;1,077211111;0,454788889;0,37624;0,00046;0,19855;28;28;28;28;28;;
^.{11}\x00\x01\x86\xA0.{4}\x00\x00\x00\x03\x00\x01\x87\};0,00265;1,56847;254,48378;112,88165;211,02543;13;207;207;207;15;1555;1525;1555;2;2;2;;;0;10;32,44444444;0,875066667;0,516322222;0,37624;0,00033;0,23868;28;28;28;28;28;;
